sentence,word,meaning
" Uważam, że jestem zerem, mam świadomość tego, że byle zdrowy psychicznie obszczymur spod sklepu z alkoholem jest więcej wart niż ja[2].",obszczymur,
" Co się gapisz jak szpak w dupę, jestem nosicielką hifa, ejdsa. Zaraził mnie w Niemczech taki obszczymur, w którym się zakochałam[3].",obszczymur,
 Część dziennikarzy kłamie i uprawia niszczenie polityków. To dziennikarska szczujnia[1].,szczujnia,
 Komuchy precz do Moskwy!,komuch, pogard. polit. komunista lub inna osoba o poglądach lewicowych
 Trzeba rozliczyć komuchów za ich świństwa.,komuch, pogard. polit. komunista lub inna osoba o poglądach lewicowych
" Owieczka sobie skubnie: tutaj jakiś listek, tam jakieś ziółko.",ziółko, niewielkie zioło
" Mówiłam ci, że z niego niezłe ziółko.",ziółko," pot. o osobie: rozrabiający, nieprzewidywalny, szalony, mający temperament"
" Wyszedłem wcześniej z przyjęcia, bo tam były same zrzędliwe raszple.",raszpla," pot. posp. obraźliwie o kobiecie, najczęściej brzydkiej, źle zbudowanej lub starszej"
 Spotkałem dziś w tramwaju fajną cizię.,cizia, pot. lekcew. dziewczyna
" Nie idziemy przez dworzec, tam aż roi się od szpiclów.",szpicel," pogard. tajny agent, szpieg[1][2]"
" Patrz jak leziesz, spaślaku!",spaślak, pot. człowiek otyły
 Myśliwi upolowali sporego spaślaka.,spaślak, pot. spasione zwierzę
" Powiedzieliby przecież: pewnie ostatnie łapserdaki ta cała 1 Armia, skoro jednego oficera nie potrafią przyzwoicie ubrać[4].",łapserdak, człowiek nędznie ubrany[1]
" Odgradzało się w ten sposób od wszelkiej hołoty, od obiboków i kocmołuchów, od łapserdaków i psubratów[5].",łapserdak," osoba nic niewarta, lekkomyślna i niepoważna"
" W 1889 r. pisał: Żyda zacofanego, brudnego chałaciarza nazywa się łapserdakiem i czuje się do niego wstręt[6].",łapserdak, przest. pogard. o Żydzie[2]
" On z mojej biednej, nędznej chaty nic nie wyniósł, prócz podartego łapserdaka[7].",łapserdak, daw. chałat żydowski[2]
" Bo ten sołdat, co przyjechał do Magdaleny, to miał wędzony boczek… Potem się oni zamknęli z tem boczkiem, z Magdaleną i z sołdatem, i też nie odnawiali mieszkania, bo zrobiło się cóś za ciemno[3]",sołdat," pogard. żołnierz, zwłaszcza rosyjski[1]"
 Polacy współpracowali z jankesami nie tylko w Iraku.,jankes,
" Przystępując do walki z jankesami, Południe nie mogło liczyć na nasze wsparcie.",jankes,
 Na granicy przesłuchiwała mnie ruda jankeska z sandwichem w dłoni.,jankeska,
" Uskarżał się na mgłę wokół Orly, która zmusiła go do podróżowania w towarzystwie różnego tałatajstwa i zuchwałej swołoczy.[3]",swołocz,
 Do tej kategorii należy zaliczyć lądolody Antarktydy i Grenlandii[1].,zaliczyć, aspekt dokonany od: zaliczać
 Prasę katolicką można nabyć w kruchcie kościoła.,kruchta,
" Zwyrodnialec brutalnie pobił bezbronnego człowieka, który w wyniku odniesionych obrażeń spędził w szpitalu kilka miesięcy.",zwyrodnialec," człowiek wynaturzony, wypaczony; degenerat"
" Sio mi z kuchni, wy diabelskie huncwoty!",huncwot,
" Na tego słabeusza nie masz co liczyć, wczoraj spuchł przy babcinej węglarce, a nie była pełna.",słabeusz, lekcew. ktoś słaby fizycznie
" Antek jest dobry z matmy, już pół roku pomaga podciągnąć się jednemu słabeuszowi z 7 d.",słabeusz, lekcew. słaby uczeń
" Powiedz temu babochłopowi, że ja w szpilkach i kostiumie po strychu latać nie zamierzam.",babochłop," pot. pejor. pogard. kobieta, która wygląda i zachowuje się jak mężczyzna"
" Tajna policja na co dzień pilnuje ludzi, by nie zdołali przygotować jakiegoś buntu, który może zagrozić władzy. Od tego właśnie była w PRL bezpieka. Jednak gdy do buntu dochodziło, wkraczała armia.[1]",bezpieka, pot. pejor. aparat bezpieczeństwa w PRL
 Milicja (…) zazdrościła esbecji luksusów[3].,esbecja,
" Ale przecież – taki właśnie opis teczek dał w swych dziełach kilkakrotnie także Michnik, twierdząc wprost, że ubecja nie tyle nawet „zbierała”, co fabrykowała materiały do szantażu, i że owe fałszywki, haki, kompromaty etc. stanowią główną zawartość teczek![1]",ubecja,
" Amerykańców u nas całkiem sporo, tylko wiele z nich wyjeżdża „od święta”[2].",amerykaniec, pot. mot. samochód osobowy wyprodukowany w Stanach Zjednoczonych
 Belfer prawił młodzieży tradycyjne kazanie przed wspólnym wyjściem do kina.,belfer, pot. lekcew. lub żart. nauczyciel[1]
" Powiedziałem temu typkowi, żeby się odczepił.",typek," pot. pogard. zdrobn. od: typ, podejrzany facet"
" Gdy usłyszał pierdnięcie, zachichotał.",pierdnięcie, pot. wulg. odgłos wydawany podczas wypuszczania gazów trawiennych[1]
" Facet zdradza ją na prawo i lewo, a ta frajerka bezgranicznie mu ufa.",frajerka, pot. naiwniara
 Harnasia własna zdradziła frajerka i za korale wydała Luptakom[1].,frajerka, Harnasia własna zdradziła frajerka i za korale wydała Luptakom[1].
" On twierdzi, że to kolejny spisek masońskiej żydokomuny.",żydokomuna, pogard. komuniści pochodzenia żydowskiego; zob. też żydokomuna w Wikipedii
 Zawsze byłeś maminsynkiem!,maminsynek," pejor. chłopiec, który nigdy nie wyszedł spod skrzydeł matki, rozpieszczony, niesamodzielny"
